1007058, 68
1007059, 51
1007061, 7
1007062, 22
1007063, 171
1007064, 74
1007065, 10
1007066, 13
1007067, 94
1007072, 123
1007073, 93
1007075, 45
1007076, 37
1007077, 4
1007078, 11
1008001, 3600
10080016, 3000
1008002, 60
1008003, 1650
1008004, 30
1008005, 1920
1008006, 24120
1008007, 3750
1008008, 7
1008009, 660
1008010, 58
1008012, 4045
1008013, 5
1008014, 486
1008016, 1620
1008017, 60
1008018, 30
1008019, 71
1008020, 60
1008021, 181
1009001, 281
2001001, 392
2001002, 8
2001003, 31
2001004, 6
2001005, 474
2001007, 476
2001008, 96
2001010, 847
2001012, 120
2001013, 5
2001017, 1610
2001019, 13
2001020, 468
2001022, 11
2001023, 596
2001025, 223300
2001026, 228
2001030, 10
2001031, 10
2001032, 2
2001034, 50
2001035, 40
2001036, 160
2001037, 30
2001038, 40
2001044, 1200
2001045, 20
2001046, 50
2001047, 440
2001048, 434
2001049, 50
2001050, 110
2001051, 210
2001052, 265
2001053, 200
2001054, 92
2001055, 100
2001056, 825
2001057, 4510
2001058, 4525
2001059, 2100
2001060, 4499
2001061, 480
2001062, 12
2001063, 800
2001064, 3272
2001065, 75
2001066, 95
2001067, 20
2001068, 30
2001070, 65
2001071, 65
2001072, 144
2001073, 1
2001075, 72
2001077, 32
2001079, 1
2001080, 2
2001082, 13
2001083, 3
2001084, 84
2001085, 108
2001086, 1400
2001087, 500
2001091, 33
2001093, 78
2001094, 40
2001095, 129
2001096, 40
2001097, 300
2001099, 72
2001100, 72
2001101, 180
2001110, 40
2001112, 520
2001113, 5
2001114, 30
2001115, 495
2001116, 20
2001117, 30
2001118, 160
2001119, 190
2001120, 15850
2001121, 500
2001122, 2100
2001124, 717
2001125, 900
2001127, 6000
2001128, 8
2001130, 23800
2001131, 21600
2001132, 12600
2001133, 11680
2001134, 60
2001135, 85
2001136, 710
2001137, 17900
2001140, 1054
2001141, 996
2001142, 85
2001143, 769
2001144, 783
2001145, 723
2001146, 264
2001147, 26
2001148, 1588
2001149, 960
2001150, 30
2001152, 10
2001153, 200
2001155, 93
2001156, 16
2001157, 2
2001158, 8
2001159, 2
2001160, 552
2001161, 72
2001162, 2
2001163, 1
2001164FO, 2
2001165, 2
2001166, 200
2001167, 2
2001168, 3000
2001169, 1
2001170, 14
2001171, 26
2001172, 3
2001173, 3
2001174, 3
2001175, 4
2001176, 10
4001091, 3
4001093, 15
4001094, 9
4001095, 10
4001096, 7
4001097, 10
4001099, 9500
4001100, 19
4001101, 25
4001102, 4
4001105, 200
4001106, 16
4001108, 8
4001109, 3
4001110, 800
4001111, 1300
4001112, 201
4001113, 5
4001116, 341
4001117, 25
4001118, 585
4001120, 891
4001121, 60
4001122, 61
4001123, 1
4001126, 350
4001127, 1300
4001130, 33
4001131, 11
4001132, 1
4001133, 2
4001134, 5
4001135, 2100
4001136, 25
4001138, 900
4001139, 6
4001140, 23
4001141, 585
4001142, 300
4001145, 3
4001146, 1
4001147, 3900
4001148, 1296
4001149, 56
4001150, 4603
4001151, 1966
4001152, 12000
4001154, 2
4001155, 1
4001156, 2
4004080, 1
4004081, 2
4004082, 5
4004083, 1
4004084, 1
4004085, 4
4004086, 1
4004087, 4
